content,score,at,case_folding,cleansing,tokenizing,stopword_removal,stemming,hasil_preprocessing
"Pelayanan sangat buruk. Pesan kamar hotel status orderan sedang dalam proses. Menuggu lebih dari 3 jam tidak ada tanggapan. Kami sangat dirugikan, pembayaran berhasil namun tiket tidak dapat terbit lalu tidk bisa direfund dan tidk bisa direscedul.",1,2025-03-30 23:48:20,"pelayanan sangat buruk. pesan kamar hotel status orderan sedang dalam proses. menuggu lebih dari 3 jam tidak ada tanggapan. kami sangat dirugikan, pembayaran berhasil namun tiket tidak dapat terbit lalu tidk bisa direfund dan tidk bisa direscedul.",pelayanan sangat buruk pesan kamar hotel status orderan sedang dalam proses menuggu lebih dari jam tidak ada tanggapan kami sangat dirugikan pembayaran berhasil namun tiket tidak dapat terbit lalu tidk bisa direfund dan tidk bisa direscedul,"['pelayanan', 'sangat', 'buruk', 'pesan', 'kamar', 'hotel', 'status', 'orderan', 'sedang', 'dalam', 'proses', 'menuggu', 'lebih', 'dari', 'jam', 'tidak', 'ada', 'tanggapan', 'kami', 'sangat', 'dirugikan', 'pembayaran', 'berhasil', 'namun', 'tiket', 'tidak', 'dapat', 'terbit', 'lalu', 'tidk', 'bisa', 'direfund', 'dan', 'tidk', 'bisa', 'direscedul']","['pelayanan', 'sangat', 'buruk', 'pesan', 'kamar', 'hotel', 'status', 'orderan', 'sedang', 'proses', 'menuggu', 'lebih', 'jam', 'tanggapan', 'sangat', 'dirugikan', 'pembayaran', 'berhasil', 'tiket', 'terbit', 'lalu', 'tidk', 'direfund', 'tidk', 'direscedul']","['layan', 'sangat', 'buruk', 'pesan', 'kamar', 'hotel', 'status', 'order', 'sedang', 'proses', 'menuggu', 'lebih', 'jam', 'tanggap', 'sangat', 'rugi', 'bayar', 'hasil', 'tiket', 'terbit', 'lalu', 'tidk', 'direfund', 'tidk', 'direscedul']",layan sangat buruk pesan kamar hotel status order sedang proses menuggu lebih jam tanggap sangat rugi bayar hasil tiket terbit lalu tidk direfund tidk direscedul
refund mudah,5,2025-03-30 23:22:12,refund mudah,refund mudah,"['refund', 'mudah']","['refund', 'mudah']","['refund', 'mudah']",refund mudah
Aplikasinya OK banget,5,2025-03-30 19:50:25,aplikasinya ok banget,aplikasinya ok banget,"['aplikasinya', 'ok', 'banget']","['aplikasinya', 'banget']","['aplikasi', 'banget']",aplikasi banget
kecewa banget atas penanganan team cs .... yang terlalu lama menangani proses refund.. padahal bukan kesalahan dari pelanggan Melain kesalahan dari anda .yg tidak jeli dalam menerima kien mencantumkan alamat fiktif didalam aplikasi...lama lama banyak orang yg tertipu klu tidak segera diambil tindakan.... padahal kerjaan anda setiap harinya.tpi masih tidak punya pengalaman dan cepat tanggap dalam menangani permasalahan dan keluhan dari pelanggan,1,2025-03-30 19:17:41,kecewa banget atas penanganan team cs .... yang terlalu lama menangani proses refund.. padahal bukan kesalahan dari pelanggan melain kesalahan dari anda .yg tidak jeli dalam menerima kien mencantumkan alamat fiktif didalam aplikasi...lama lama banyak orang yg tertipu klu tidak segera diambil tindakan.... padahal kerjaan anda setiap harinya.tpi masih tidak punya pengalaman dan cepat tanggap dalam menangani permasalahan dan keluhan dari pelanggan,kecewa banget atas penanganan team cs yang terlalu lama menangani proses refund padahal bukan kesalahan dari pelanggan melain kesalahan dari anda yg tidak jeli dalam menerima kien mencantumkan alamat fiktif didalam aplikasi lama lama banyak orang yg tertipu klu tidak segera diambil tindakan padahal kerjaan anda setiap harinya tpi masih tidak punya pengalaman dan cepat tanggap dalam menangani permasalahan dan keluhan dari pelanggan,"['kecewa', 'banget', 'atas', 'penanganan', 'team', 'cs', 'yang', 'terlalu', 'lama', 'menangani', 'proses', 'refund', 'padahal', 'bukan', 'kesalahan', 'dari', 'pelanggan', 'melain', 'kesalahan', 'dari', 'anda', 'yg', 'tidak', 'jeli', 'dalam', 'menerima', 'kien', 'mencantumkan', 'alamat', 'fiktif', 'didalam', 'aplikasi', 'lama', 'lama', 'banyak', 'orang', 'yg', 'tertipu', 'klu', 'tidak', 'segera', 'diambil', 'tindakan', 'padahal', 'kerjaan', 'anda', 'setiap', 'harinya', 'tpi', 'masih', 'tidak', 'punya', 'pengalaman', 'dan', 'cepat', 'tanggap', 'dalam', 'menangani', 'permasalahan', 'dan', 'keluhan', 'dari', 'pelanggan']","['kecewa', 'banget', 'atas', 'penanganan', 'team', 'cs', 'terlalu', 'lama', 'menangani', 'proses', 'refund', 'padahal', 'bukan', 'kesalahan', 'pelanggan', 'melain', 'kesalahan', 'yg', 'jeli', 'menerima', 'kien', 'mencantumkan', 'alamat', 'fiktif', 'didalam', 'aplikasi', 'lama', 'lama', 'banyak', 'orang', 'yg', 'tertipu', 'klu', 'segera', 'diambil', 'tindakan', 'padahal', 'kerjaan', 'harinya', 'tpi', 'punya', 'pengalaman', 'cepat', 'tanggap', 'menangani', 'permasalahan', 'keluhan', 'pelanggan']","['kecewa', 'banget', 'atas', 'tangan', 'team', 'cs', 'terlalu', 'lama', 'tangan', 'proses', 'refund', 'padahal', 'bukan', 'salah', 'langgan', 'lain', 'salah', 'yg', 'jeli', 'terima', 'kien', 'cantum', 'alamat', 'fiktif', 'dalam', 'aplikasi', 'lama', 'lama', 'banyak', 'orang', 'yg', 'tipu', 'klu', 'segera', 'ambil', 'tindak', 'padahal', 'kerja', 'hari', 'tpi', 'punya', 'alam', 'cepat', 'tanggap', 'tangan', 'masalah', 'keluh', 'langgan']",kecewa banget atas tangan team cs terlalu lama tangan proses refund padahal bukan salah langgan lain salah yg jeli terima kien cantum alamat fiktif dalam aplikasi lama lama banyak orang yg tipu klu segera ambil tindak padahal kerja hari tpi punya alam cepat tanggap tangan masalah keluh langgan
Ribet aplikasi menyusahkan,1,2025-03-30 14:24:52,ribet aplikasi menyusahkan,ribet aplikasi menyusahkan,"['ribet', 'aplikasi', 'menyusahkan']","['ribet', 'aplikasi', 'menyusahkan']","['ribet', 'aplikasi', 'susah']",ribet aplikasi susah
pokoknya kalo mau cari tiket disini juaranyaaa,5,2025-03-30 07:47:41,pokoknya kalo mau cari tiket disini juaranyaaa,pokoknya kalo mau cari tiket disini juaranyaaa,"['pokoknya', 'kalo', 'mau', 'cari', 'tiket', 'disini', 'juaranyaaa']","['pokoknya', 'kalo', 'mau', 'cari', 'tiket', 'disini', 'juaranyaaa']","['pokok', 'kalo', 'mau', 'cari', 'tiket', 'sini', 'juaranyaaa']",pokok kalo mau cari tiket sini juaranyaaa
cepat dan mudah,5,2025-03-30 05:34:11,cepat dan mudah,cepat dan mudah,"['cepat', 'dan', 'mudah']","['cepat', 'mudah']","['cepat', 'mudah']",cepat mudah
unstal lagi karna baca komen2 nya jelek2 😂,1,2025-03-30 03:43:05,unstal lagi karna baca komen2 nya jelek2 😂,unstal lagi karna baca komen nya jelek,"['unstal', 'lagi', 'karna', 'baca', 'komen', 'nya', 'jelek']","['unstal', 'karna', 'baca', 'komen', 'nya', 'jelek']","['unstal', 'karna', 'baca', 'komen', 'nya', 'jelek']",unstal karna baca komen nya jelek
recommended,5,2025-03-30 00:03:13,recommended,recommended,['recommended'],['recommended'],['recommended'],recommended
baik sekali,5,2025-03-29 21:31:11,baik sekali,baik sekali,"['baik', 'sekali']","['baik', 'sekali']","['baik', 'sekali']",baik sekali
very good application for traveling,5,2025-03-29 20:05:06,very good application for traveling,very good application for traveling,"['very', 'good', 'application', 'for', 'traveling']","['very', 'good', 'application', 'for', 'traveling']","['very', 'good', 'application', 'for', 'traveling']",very good application for traveling
"kecewa sekali,pesanan sy di refund sepihak sama pihak terkait,sy udah jauh dr jkt,sampe di bandung dan reservasi hotel hilang,ber jam jam tidak ada solusi sama sekali,pengen rasanya buat aduan ke polisi krn sy sbg konsumen bener2 di rugikan.",1,2025-03-29 18:16:04,"kecewa sekali,pesanan sy di refund sepihak sama pihak terkait,sy udah jauh dr jkt,sampe di bandung dan reservasi hotel hilang,ber jam jam tidak ada solusi sama sekali,pengen rasanya buat aduan ke polisi krn sy sbg konsumen bener2 di rugikan.",kecewa sekali pesanan sy di refund sepihak sama pihak terkait sy udah jauh dr jkt sampe di bandung dan reservasi hotel hilang ber jam jam tidak ada solusi sama sekali pengen rasanya buat aduan ke polisi krn sy sbg konsumen bener di rugikan,"['kecewa', 'sekali', 'pesanan', 'sy', 'di', 'refund', 'sepihak', 'sama', 'pihak', 'terkait', 'sy', 'udah', 'jauh', 'dr', 'jkt', 'sampe', 'di', 'bandung', 'dan', 'reservasi', 'hotel', 'hilang', 'ber', 'jam', 'jam', 'tidak', 'ada', 'solusi', 'sama', 'sekali', 'pengen', 'rasanya', 'buat', 'aduan', 'ke', 'polisi', 'krn', 'sy', 'sbg', 'konsumen', 'bener', 'di', 'rugikan']","['kecewa', 'sekali', 'pesanan', 'sy', 'refund', 'sepihak', 'sama', 'pihak', 'terkait', 'sy', 'udah', 'jauh', 'dr', 'jkt', 'sampe', 'bandung', 'reservasi', 'hotel', 'hilang', 'ber', 'jam', 'jam', 'solusi', 'sama', 'sekali', 'pengen', 'rasanya', 'buat', 'aduan', 'polisi', 'krn', 'sy', 'sbg', 'konsumen', 'bener', 'rugikan']","['kecewa', 'sekali', 'pesan', 'sy', 'refund', 'pihak', 'sama', 'pihak', 'kait', 'sy', 'udah', 'jauh', 'dr', 'jkt', 'sampe', 'bandung', 'reservasi', 'hotel', 'hilang', 'ber', 'jam', 'jam', 'solusi', 'sama', 'sekali', 'ken', 'rasa', 'buat', 'adu', 'polisi', 'krn', 'sy', 'sbg', 'konsumen', 'bener', 'rugi']",kecewa sekali pesan sy refund pihak sama pihak kait sy udah jauh dr jkt sampe bandung reservasi hotel hilang ber jam jam solusi sama sekali ken rasa buat adu polisi krn sy sbg konsumen bener rugi
tiket bus kalideres ke lahat ga ada payah,2,2025-03-29 18:15:13,tiket bus kalideres ke lahat ga ada payah,tiket bus kalideres ke lahat ga ada payah,"['tiket', 'bus', 'kalideres', 'ke', 'lahat', 'ga', 'ada', 'payah']","['tiket', 'bus', 'kalideres', 'lahat', 'ga', 'payah']","['tiket', 'bus', 'kalideres', 'lahat', 'ga', 'payah']",tiket bus kalideres lahat ga payah
pemesanan aplikasi sama info hotel sampah,1,2025-03-29 16:38:36,pemesanan aplikasi sama info hotel sampah,pemesanan aplikasi sama info hotel sampah,"['pemesanan', 'aplikasi', 'sama', 'info', 'hotel', 'sampah']","['pemesanan', 'aplikasi', 'sama', 'info', 'hotel', 'sampah']","['mesan', 'aplikasi', 'sama', 'info', 'hotel', 'sampah']",mesan aplikasi sama info hotel sampah
terbaik dari beberapa aplikasi,5,2025-03-29 15:20:43,terbaik dari beberapa aplikasi,terbaik dari beberapa aplikasi,"['terbaik', 'dari', 'beberapa', 'aplikasi']","['terbaik', 'beberapa', 'aplikasi']","['baik', 'beberapa', 'aplikasi']",baik beberapa aplikasi
"Pengalaman pertama dan terakhir. pembatalan dan reschedule dilakukan beberapa jam sebelum berangkat, dan saya diberi fasilitas yang tidak sama tanpa ada kompensasi. saya terhubung dengan CS A.N Hanif yang tidak dapat membantu sama sekali, hanya memberi voucher yg saya harus pake lagi di aplikasi tidak terpercaya ini. cukup sekali aja seumur hidup pake ini aplikasi, gak ada tanggung jawabnya! paling balasnya silahkan hubungi blablabla, harusnya kalian yg hub cust dan kasih kompensasi, selesai.",1,2025-03-29 14:52:33,"pengalaman pertama dan terakhir. pembatalan dan reschedule dilakukan beberapa jam sebelum berangkat, dan saya diberi fasilitas yang tidak sama tanpa ada kompensasi. saya terhubung dengan cs a.n hanif yang tidak dapat membantu sama sekali, hanya memberi voucher yg saya harus pake lagi di aplikasi tidak terpercaya ini. cukup sekali aja seumur hidup pake ini aplikasi, gak ada tanggung jawabnya! paling balasnya silahkan hubungi blablabla, harusnya kalian yg hub cust dan kasih kompensasi, selesai.",pengalaman pertama dan terakhir pembatalan dan reschedule dilakukan beberapa jam sebelum berangkat dan saya diberi fasilitas yang tidak sama tanpa ada kompensasi saya terhubung dengan cs a n hanif yang tidak dapat membantu sama sekali hanya memberi voucher yg saya harus pake lagi di aplikasi tidak terpercaya ini cukup sekali aja seumur hidup pake ini aplikasi gak ada tanggung jawabnya paling balasnya silahkan hubungi blablabla harusnya kalian yg hub cust dan kasih kompensasi selesai,"['pengalaman', 'pertama', 'dan', 'terakhir', 'pembatalan', 'dan', 'reschedule', 'dilakukan', 'beberapa', 'jam', 'sebelum', 'berangkat', 'dan', 'saya', 'diberi', 'fasilitas', 'yang', 'tidak', 'sama', 'tanpa', 'ada', 'kompensasi', 'saya', 'terhubung', 'dengan', 'cs', 'a', 'n', 'hanif', 'yang', 'tidak', 'dapat', 'membantu', 'sama', 'sekali', 'hanya', 'memberi', 'voucher', 'yg', 'saya', 'harus', 'pake', 'lagi', 'di', 'aplikasi', 'tidak', 'terpercaya', 'ini', 'cukup', 'sekali', 'aja', 'seumur', 'hidup', 'pake', 'ini', 'aplikasi', 'gak', 'ada', 'tanggung', 'jawabnya', 'paling', 'balasnya', 'silahkan', 'hubungi', 'blablabla', 'harusnya', 'kalian', 'yg', 'hub', 'cust', 'dan', 'kasih', 'kompensasi', 'selesai']","['pengalaman', 'pertama', 'terakhir', 'pembatalan', 'reschedule', 'dilakukan', 'beberapa', 'jam', 'berangkat', 'diberi', 'fasilitas', 'sama', 'kompensasi', 'terhubung', 'cs', 'a', 'n', 'hanif', 'membantu', 'sama', 'sekali', 'memberi', 'voucher', 'yg', 'pake', 'aplikasi', 'terpercaya', 'cukup', 'sekali', 'aja', 'seumur', 'hidup', 'pake', 'aplikasi', 'gak', 'tanggung', 'jawabnya', 'paling', 'balasnya', 'silahkan', 'hubungi', 'blablabla', 'harusnya', 'kalian', 'yg', 'hub', 'cust', 'kasih', 'kompensasi', 'selesai']","['alam', 'pertama', 'akhir', 'batal', 'reschedule', 'laku', 'beberapa', 'jam', 'berangkat', 'beri', 'fasilitas', 'sama', 'kompensasi', 'hubung', 'cs', 'a', 'n', 'hanif', 'bantu', 'sama', 'sekali', 'beri', 'voucher', 'yg', 'pake', 'aplikasi', 'percaya', 'cukup', 'sekali', 'aja', 'umur', 'hidup', 'pake', 'aplikasi', 'gak', 'tanggung', 'jawab', 'paling', 'balas', 'silah', 'hubung', 'blablabla', 'harus', 'kalian', 'yg', 'hub', 'cust', 'kasih', 'kompensasi', 'selesai']",alam pertama akhir batal reschedule laku beberapa jam berangkat beri fasilitas sama kompensasi hubung cs a n hanif bantu sama sekali beri voucher yg pake aplikasi percaya cukup sekali aja umur hidup pake aplikasi gak tanggung jawab paling balas silah hubung blablabla harus kalian yg hub cust kasih kompensasi selesai
aplikasinya simpel mudah dimengerti dan banyak promo,5,2025-03-29 11:38:31,aplikasinya simpel mudah dimengerti dan banyak promo,aplikasinya simpel mudah dimengerti dan banyak promo,"['aplikasinya', 'simpel', 'mudah', 'dimengerti', 'dan', 'banyak', 'promo']","['aplikasinya', 'simpel', 'mudah', 'dimengerti', 'banyak', 'promo']","['aplikasi', 'simpel', 'mudah', 'erti', 'banyak', 'promo']",aplikasi simpel mudah erti banyak promo
keren,5,2025-03-29 06:31:26,keren,keren,['keren'],['keren'],['keren'],keren
👍💯Terbaik,5,2025-03-29 04:36:10,👍💯terbaik,terbaik,['terbaik'],['terbaik'],['baik'],baik
